source_node_id	target_node_id	relation_type	knowledge_source	confidence	is_fallback	evidence_relation_ids	enabled	edge_kind	is_structural	original_source_entity_id	original_target_entity_id	original_direction	traversal_direction
s::d000::ENT_683284C4437E36580945	s::d001::ENT_555937044F448C6CA72B	OTHER	medical_kg_gold	0.9	false	8418a9e1265f45b0901ae1fe9c6e27db	true	kg_bfs	false	ENT_555937044F448C6CA72B	ENT_683284C4437E36580945	ENT_555937044F448C6CA72B->ENT_683284C4437E36580945	reverse
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_002CA5B2BA4A3EDEE83F	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00439E0B4C7F18EA0CE6	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_0047175FEB7368455D92	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_004CF3976168BBB756E3	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_004E2F5C63CAC11E8A43	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_0072275B806333026674	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00817AA0F8FECEED0373	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_0081FB6691BC2AA6E30C	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_008742D2D010408ADE25	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_008D8B900D87DEE17ECF	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00942F34ECE28650B190	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00947481F815F8369F48	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_009D214D2AF4B129E1C3	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00A06AE3E9384ABB18C2	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00AA8B0B94122135AA87	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00C9B8AA43E826ED819E	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00D5E5C816E1FFD76268	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00D986000A6BE174A4BC	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00E863C0AA6021A624E2	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_00F63807BE735C4759BD	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_0104AA79304B43024B06	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_01103CB98EE4EA58DDBA	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_0112191CCBB7879741C5	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_011C1AF3703431013BFF	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_011F4B36DAA391B08366	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
s::d001::ENT_555937044F448C6CA72B	t::d001::ENT_012E38F1FCD289D05DD3	structural_frontier_bridge	dual_bfs_algorithm	1	false		true	structural_bridge	true				structural
